year,release_date,title,genre,international_box_office,domestic_box_office,worldwide_box_office
2000,January 1st,Bakha Satang,Drama,76576.00,n/a,76576.00
2001,January 12th,Antitrust,Thriller/Suspense,6900000.00,10965209.00,17865209.00
2000,January 28th,Santitos,,,378562.00,
2002,2002 (Wide) by ,Frank McKlusky C.I.,,,n/a,
2002,January 25th,A Walk to Remember,Drama,4833792.00,41227069.00,46060861.00
2002,June 21st,Zig Zag,,,1649.00,
2002,May 10th,TakhtÃ© siah,Drama,,21324.00,
2009,January 2nd,"Angry Monk: Reflections on Tibet, The",Documentary,,2125.00,
2002,June 7th,30 Years to Life,Comedy,,99023.00,
2008,January 2nd,The Killing of John Lennon,Drama,,6975.00,
2008,January 18th,Mad Money,Comedy,4375214.00,20668843.00,25044057.00
2008,January 18th,Little Chenier,Drama,,87939.00,
2008,February 1st,Over Her Dead Body,Comedy,14025947.00,7570127.00,21596074.00
2008,February 15th,O Ano em Que Meus Pais SaÃ­ram de FÃ©rias,Drama,1800000.00,807117.00,2607117.00
2008,February 15th,120,Drama,1334204.00,n/a,1334204.00
2008,February 29th,The Other Boleyn Girl,Drama,51455013.00,26814957.00,78269970.00
2008,February 29th,A Lawyer Walks into a Bar,Documentary,,5202.00,
2008,March 8th,La Rondine,Concert/Performance,,49088.00,
2011,December 30th,Jodaeiye Nader az Simin,Drama,17327677.00,7098492.00,24426169.00
2011,December 28th,Pariah,Drama,,769552.00,
2011,December 25th,War Horse,Drama,76932170.00,79883359.00,156815529.00
2011,April 6th,Habemus Papam,Comedy,9917173.00,486902.00,10404075.00
2011,December 29th,Ivan Tsarevich i Seryy Volk,Action,25047727.00,n/a,25047727.00
2011,December 28th,El Sicario Room 164,Documentary,,n/a,
2011,December 25th,Extremely Loud and Incredibly Close,Drama,23400000.00,31847881.00,55247881.00
2011,December 30th,Angels Crest,Drama,1205.00,832.00,2037.00
2011,December 28th,Paranormal Xperience,Horror,2812739.00,n/a,2812739.00
2011,December 25th,The Darkest Hour,Action,41388221.00,21443494.00,62831715.00
2011,December 23rd,Miss Minoes,Adventure,,10189.00,
2011,November 26th,We Bought a Zoo,Drama,43104523.00,75624550.00,118729073.00
2014,November 21st,Minuscule - La vallÃ©e des fourmis perdues,Adventure,1058457.00,n/a,1058457.00
2011,May 11th,Kiseki,Drama,766350.00,145808.00,912158.00
2011,December 23rd,In The Land of Blood and Honey,Drama,205316.00,303877.00,509193.00
2011,December 23rd,Prince of the Himalayas,Drama,,9178.00,
2011,December 22nd,Don 2,Action,30378610.00,3674480.00,34053090.00
2014,December 12th,We Are the Giant,Documentary,,1088.00,
2014,December 31st,Wang Pai,Drama,4590000.00,n/a,4590000.00
2015,July 24th,The Young Kieslowski,Romantic Comedy,,n/a,
2015,June 10th,Last Cab to Darwin,Drama,5786944.00,34193.00,5821137.00
2014,December 12th,Cong cong na nian,Drama,93470000.00,566853.00,94036853.00
2015,July 31st,Ghadi,Comedy,70149.00,n/a,70149.00
2015,July 31st,Fair Play,Drama,8747.00,n/a,8747.00
2015,August 14th,Meru,Documentary,16592.00,2334228.00,2350820.00
2015,August 21st,Station to Station,Documentary,1036.00,9494.00,10530.00
2015,August 14th,Karachi se Lahore,Comedy,17721.00,n/a,17721.00
2015,December 4th,Atrapa la bandera,Adventure,21131406.00,n/a,21131406.00
2015,September 10th,Alma,Romantic Comedy,567607.00,n/a,567607.00
2015,August 28th,"Boca Juniors 3D, la pelÃ­cula",Documentary,2171383.00,n/a,2171383.00
2015,September 18th,Life of Josutty,Comedy,7870.00,n/a,7870.00
2015,September 9th,Welcome to Leith,Documentary,381.00,36010.00,36391.00
2015,September 25th,Eso que llaman amor,Drama,231.00,n/a,231.00
2015,September 18th,The Man Who Saved the World,Documentary,2855.00,n/a,2855.00
2014,December 31st,Yuan Ling Ren Ou,Horror,3590000.00,n/a,3590000.00
2015,October 2nd,Hip Hop-eration,Documentary,6203.00,n/a,6203.00
2015,October 16th,"Kleine Ziege, sturer Bock",Comedy,67838.00,n/a,67838.00
2015,October 9th,Vesvese: Cin Tuzagi,Horror,15193.00,n/a,15193.00
2015,October 16th,Truth,Thriller/Suspense,4300726.00,2541854.00,6842580.00
2015,October 30th,Geunomida,Thriller/Suspense,697826.00,n/a,697826.00
2015,October 30th,Wo shi zheng ren,Thriller/Suspense,31424661.00,409644.00,31834305.00
2015,November 6th,Sarancha,Drama,431000.00,n/a,431000.00
2015,May 20th,HÃ¢monÃ®,Action,407320.00,23248.00,430568.00
2015,November 20th,Dobbiamo parlare,Comedy,583290.00,n/a,583290.00
2015,December 3rd,600 Millas,Thriller/Suspense,284803.00,n/a,284803.00
2015,November 13th,Hot Sugar's Cold World,Documentary,,n/a,
2015,October 2nd,Hell & Back,Adventure,,157768.00,
2015,December 4th,Rajini Murugan,Comedy,151741.00,n/a,151741.00
2015,November 13th,Une Histoire de Fou,Drama,314458.00,n/a,314458.00
2015,December 25th,Point Break,Action,97922110.00,28782481.00,126704591.00
2016,October 28th,Desu nÃ´to: Light Up the New World,Thriller/Suspense,18901839.00,n/a,18901839.00
2016,November 11th,Disturbing the Peace,Documentary,,25287.00,
2015,December 18th,Star Wars Ep. VII: The Force Awakens,Adventure,1127953592.00,936662225.00,2064615817.00
2016,November 11th,Doctor Who: The Power of the Daleks,Action,116162.00,n/a,116162.00
2015,December 18th,Le grand jeu,,226708.00,n/a,226708.00
2016,November 25th,Bellas de Noche,Documentary,,n/a,
2015,December 25th,The Revenant,Adventure,349300408.00,183637894.00,532938302.00
2016,November 25th,The Unmarried Wife,Drama,66140.00,n/a,66140.00
2016,December 2nd,Sha Mo Zhi Xin,,49204.00,n/a,49204.00
2016,December 16th,Poveri ma Ricchi,Comedy,7259767.00,n/a,7259767.00
2016,November 18th,Nuo Lietuvos nepabÄ—gsi,Drama,2465.00,n/a,2465.00
2016,December 9th,Somewhere Connected,,19291.00,n/a,19291.00
2018,November 29th,Lo peor de los deseos,Drama,,n/a,
2016,December 30th,PÃ¨re fils thÃ©rapie!,Comedy,1453270.00,n/a,1453270.00
2018,April 12th,Di Qiu Zui Hou De Ye Wang,Drama,41619365.00,521365.00,42140730.00
2018,December 7th,Doktor Martin: ZÃ¡hada v Beskydech,Comedy,31651.00,n/a,31651.00
2018,December 30th,Battle of Tortoise and Rabbit,,1494779.00,n/a,1494779.00
2018,December 30th,Alibaba The Three Golden Hair,Adventure,1476950.00,n/a,1476950.00
2018,December 29th,Duan Pian Er,Comedy,7423443.00,n/a,7423443.00
2018,January 4th,Yun Nan Chong Gu Yunnan Valley,Action,22268448.00,101516.00,22369964.00
2018,December 30th,Two Small Pigs Brave The Mysterious Island,Adventure,744017.00,n/a,744017.00
2018,December 28th,Trolled,Adventure,32834.00,n/a,32834.00
2018,December 28th,Tiempo despuÃ©s,Comedy,1736358.00,n/a,1736358.00
2018,December 28th,Stan & Ollie,Drama,23592439.00,5470235.00,29062674.00
2018,December 28th,The Work Wife,Drama,,n/a,
2018,December 28th,Tarp mÅ«sÅ³ mergaiÄ�iÅ³,Comedy,666106.00,n/a,666106.00
2018,December 28th,TrileÃ§e,Drama,54.00,n/a,54.00
2018,December 28th,Rio Mekong,Documentary,453.00,n/a,453.00
2018,December 28th,Simmba,Action,2255389.00,5102129.00,7357518.00
2018,December 28th,Pech to nie grzech,Romantic Comedy,2042938.00,n/a,2042938.00
2018,December 28th,MÃ¼saadenizle BÃ¼yÃ¼kler,Adventure,45185.00,n/a,45185.00
2018,December 28th,The Most Beautiful Season,Drama,218412.00,n/a,218412.00
2018,December 28th,Shou Ji Kuang Xiang,Drama,94951615.00,n/a,94951615.00
2018,December 28th,One Shot,Drama,1127.00,n/a,1127.00
2018,December 28th,Konna Yofuke Ni Banana Kayo: Kanashiki Jitsuwa,Comedy,8652004.00,n/a,8652004.00
2018,December 28th,Njan Prakashan,Drama,57375.00,n/a,57375.00
2018,December 28th,Minha Vida em Marte,Comedy,21105636.00,n/a,21105636.00
2018,December 28th,K.G.F: Chapter 1,Action,27179.00,n/a,27179.00
2018,December 28th,Der kleine Drache Kokosnuss - Auf in den Dschungel!,Adventure,1866262.00,n/a,1866262.00
2018,December 28th,jeombaki hanbandoeui gongryong 2 saeroun nakwon,Adventure,3783492.00,n/a,3783492.00
2018,December 28th,Chef,Documentary,94.00,n/a,94.00
2018,December 28th,Benji,Adventure,585333.00,n/a,585333.00
2018,December 27th,T-34,Drama,39526616.00,n/a,39526616.00
2018,December 28th,BÃ¶rÃ¼,Drama,1441948.00,n/a,1441948.00
2018,December 27th,Der Junge muss an die frische Luft,Comedy,31920181.00,n/a,31920181.00
2018,December 27th,Yolki Posledniye,Comedy,11499494.00,n/a,11499494.00
2018,December 28th,Cuando Brillan las Estrellas,Comedy,2506.00,n/a,2506.00
2018,December 27th,Au bout des doigts,Drama,3712903.00,n/a,3712903.00
2018,December 26th,Un violent dÃ©sir de bonheur,Drama,,n/a,
2018,December 27th,La befana vien di notte,Comedy,9166973.00,n/a,9166973.00
2018,January 4th,PMC: deo beong-keo,Action,12478635.00,n/a,12478635.00
2018,December 27th,Moschettieri del Re - La penultima missione,Comedy,5728962.00,n/a,5728962.00
2018,December 22nd,Mult v. Kino Vypusk No. 87,Adventure,100689.00,n/a,100689.00
2018,July 19th,L'homme fidÃ¨le,Romantic Comedy,1861933.00,77776.00,1939709.00
2018,January 11th,Perfectos desconocidos,Comedy,6880839.00,1014507.00,7895346.00
2018,December 21st,Zerk,Horror,8785.00,n/a,8785.00
2018,December 25th,Destroyer,Thriller/Suspense,4332165.00,1533324.00,5865489.00
2018,December 21st,Zero,Comedy,1995127.00,n/a,1995127.00
2018,December 21st,YanÄ±mda Kal,Drama,69938.00,n/a,69938.00
2018,April 12th,Ye Wen hui chuan: Zhang Tianzhi,Action,19572493.00,209454.00,19781947.00
2018,April 12th,Mia et le lion blanc,Drama,33899357.00,400498.00,34299855.00
2018,December 21st,Wu Lin Guai Shou,Action,11573104.00,n/a,11573104.00
2018,December 22nd,Kamen RaidÃ¢ Heisei JenerÃªshonzu FoebÃ¢,Action,12465928.00,n/a,12465928.00
2018,December 21st,Welcome to Marwen,Drama,2322617.00,10763520.00,13086137.00
2018,December 21st,Vergara,,3695.00,n/a,3695.00
2018,December 25th,Vice,Black Comedy,23057500.00,47836282.00,70893782.00
2018,December 21st,Tian Qi Yu Bao,Adventure,18382575.00,103053.00,18485628.00
2018,December 21st,The Soul of Shui People in 1944,Drama,599574.00,n/a,599574.00
2018,December 21st,Snezhnaya koroleva. Zazerkale,Adventure,9456027.00,n/a,9456027.00
2018,December 21st,Unknown Distance,Documentary,,n/a,
2018,December 21st,Silukkuvarpatti Singam,Drama,405.00,n/a,405.00
2018,December 21st,The Revenge of Phantom Knight,Horror,23369.00,n/a,23369.00
2018,December 21st,Padi Padi Leche Manasu,Drama,20916.00,n/a,20916.00
2018,December 21st,SÃ¼kut Evi,Drama,262.00,n/a,262.00
2018,December 21st,Porno para principiantes,Comedy,9848.00,n/a,9848.00
2018,December 21st,Patrolman Baoyin,Drama,100000.00,n/a,100000.00
2018,December 21st,The Last Resort,Documentary,,158646.00,
2018,December 21st,National Theatre Live: Antony & Cleopatra,Concert/Performance,891885.00,n/a,891885.00
2018,December 21st,Maari 2,Comedy,68392.00,n/a,68392.00
2018,December 21st,Kanaa,Drama,2999.00,n/a,2999.00
2018,December 21st,Hugo Paco Luis y tres chicas de rosa,,100.00,n/a,100.00
2018,December 21st,Kurtlar ve Ã‡akallar,Drama,11593.00,n/a,11593.00
2018,December 21st,Fabeltjeskrant: De Grote Dierenbos-Spelen.,Adventure,728944.00,n/a,728944.00
2018,December 21st,The Connection,Drama,3739582.00,n/a,3739582.00
2018,December 21st,Delaware Shore,Drama,,n/a,
2018,December 21st,Dantza,Musical,262301.00,n/a,262301.00
2018,December 21st,D.P.A. Detetives Do PrÃ©dio Azul 2 - O Filme,Adventure,4432618.00,n/a,4432618.00
2018,December 21st,Between Worlds,Thriller/Suspense,,n/a,
2018,December 21st,Antariksham 9000 kmph,Adventure,39040.00,n/a,39040.00
2018,December 21st,Blue Amber,Drama,25049.00,n/a,25049.00
2018,December 21st,AÃ¯lo: Une odyssÃ©e en Laponie,Documentary,1991200.00,n/a,1991200.00
2018,December 21st,Adanga Maru,Action,30612.00,n/a,30612.00
2018,December 20th,Tri bogatyrya i Naslednitsa prestola,Adventure,9343851.00,n/a,9343851.00
2018,December 21st,Bolshoi Ballet: The Nutcracker,Concert/Performance,354373.00,n/a,354373.00
2018,December 25th,Holmes & Watson,Comedy,11357862.00,30568743.00,41926605.00
2017,December 29th,Zanjas,Thriller/Suspense,570.00,n/a,570.00
2018,December 20th,Itâ€™s March 3Rd Again,Drama,1160000.00,n/a,1160000.00
2017,February 14th,The Wedding Party 2: Destination Dubai,Comedy,61975.00,11140.00,73115.00
2017,December 29th,Sin Filtro,Comedy,174.00,n/a,174.00
2017,January 5th,Yao Ling Ling,Comedy,57442237.00,186135.00,57628372.00
2018,December 20th,Politseyskiy s Rublyovki. Novogodniy bespredel,Comedy,27061365.00,n/a,27061365.00
2017,December 29th,ParayÄ± Bulduk,Comedy,16590.00,n/a,16590.00
2017,December 29th,Napoli Velata,Drama,7197082.00,n/a,7197082.00
2017,December 29th,KlasÄ—s susitikimas: berniukai sugrÄ¯Å¾ta!,Comedy,1636978.00,n/a,1636978.00
2017,December 29th,Kalavaadiya Pozhuthugal,Drama,5317.00,n/a,5317.00
2017,December 29th,Momo,Comedy,5181844.00,n/a,5181844.00
2017,December 29th,Gulu Mermaid 2,Adventure,1653264.00,n/a,1653264.00
2017,December 29th,Gandarrappido!: The Revenger Squad,Comedy,21271.00,n/a,21271.00
2017,December 29th,"Fala SÃ©rio, MÃ£e!",Comedy,11616161.00,n/a,11616161.00
2017,December 29th,L'Ã©change des princesses,Drama,3078723.00,n/a,3078723.00
2017,December 29th,Okka Kshanam,Thriller/Suspense,1516.00,n/a,1516.00
2017,December 29th,Forget About Nick,Romantic Comedy,41963.00,n/a,41963.00
2017,December 29th,Come Un Gatto in Tangenziale,Comedy,11282642.00,n/a,11282642.00
2018,December 21st,Seuwingkizeu,Drama,10681258.00,222001.00,10903259.00
2018,December 20th,Capri-Revolution,Drama,828363.00,n/a,828363.00
2018,December 19th,Maya,Drama,130997.00,n/a,130997.00
2018,December 19th,Mayakwang,Action,14446477.00,n/a,14446477.00
2018,December 19th,Nachtwacht: De Poort der Zielen,,198335.00,n/a,198335.00
2018,December 19th,L'Empereur de Paris,Adventure,8628811.00,n/a,8628811.00
2018,December 19th,Le gendre de ma vie,Comedy,3623355.00,n/a,3623355.00
2018,December 19th,Amici come Prima,Comedy,9367230.00,n/a,9367230.00
2018,December 18th,Zhong Guo He Huo Ren 2,Drama,3004460.00,n/a,3004460.00
2018,December 19th,Mary Poppins Returns,Musical,176942594.00,171958438.00,348901032.00
2018,December 16th,A Christmas Carol,Adventure,,n/a,
2018,December 14th,The Wedding,Drama,2513.00,n/a,2513.00
2018,December 14th,Yo-kai Watch Movie 5: Forever Friends,Adventure,10441722.00,n/a,10441722.00
2018,December 14th,Volver a Boedo,Documentary,16032.00,n/a,16032.00
2018,December 14th,Yuli,Drama,4326104.00,n/a,4326104.00
2018,December 14th,Turtle Odyssey 3d,Documentary,141256.00,n/a,141256.00
2018,December 14th,Three Words to Forever,,17076.00,n/a,17076.00
2018,December 14th,Trote,Drama,6538.00,n/a,6538.00
2018,December 14th,That Way Madness Lies,Documentary,,1447.00,
2018,December 14th,La vida que te agenciaste,Documentary,63.00,n/a,63.00
2018,December 14th,There Will Be Ample Time,Comedy,9135.00,n/a,9135.00
2018,December 14th,Stolen Fairytales,Comedy,5197.00,n/a,5197.00
2017,December 29th,Ã‡at Kapi Ask,Romantic Comedy,36969.00,n/a,36969.00
2018,December 14th,Skjelvet,Thriller/Suspense,4046173.00,6235.00,4052408.00
2017,February 9th,CaffÃ¨,Drama,157683.00,n/a,157683.00
2018,December 14th,Seethakaathi,Drama,10103.00,n/a,10103.00
2017,December 29th,Balloon,Horror,2186353.00,n/a,2186353.00
2017,December 29th,Barkley,Adventure,1926435.00,n/a,1926435.00
2017,February 9th,Basmati Blues,Musical,15651.00,n/a,15651.00
2017,December 29th,ASYA,Drama,2.00,n/a,2.00
2017,December 29th,Anons,Drama,24879.00,n/a,24879.00
2017,December 29th,Aruvi,Drama,863.00,n/a,863.00
2017,December 28th,Dvizhenie Vverkh,Drama,61925449.00,n/a,61925449.00
2017,January 5th,Er Dai Yao Jing,Romantic Comedy,46154324.00,n/a,46154324.00
2017,December 18th,1987: When the Day Comes,Drama,51775357.00,n/a,51775357.00
2017,December 29th,Qian Ren 3: Yan Zhi Da Zuo Zhan,Comedy,306710033.00,837791.00,307547824.00
2017,December 23rd,Revenge Girl,Drama,1302754.00,n/a,1302754.00
2017,December 25th,Phantom Thread,Drama,26613994.00,21198205.00,47812199.00
2017,December 29th,Berliner Philharmoniker: New Year's Eve Concert,Concert/Performance,83045.00,n/a,83045.00
2017,December 22nd,Yao Mao Zhuan,Drama,97033612.00,n/a,97033612.00
2017,December 25th,All the Money in the World,Thriller/Suspense,31784324.00,25106325.00,56890649.00
2017,December 22nd,Tri Bogatyrya i Printsessa Egipta,Adventure,14184772.00,n/a,14184772.00
2017,December 22nd,Tout lÃ -haut,Adventure,2354121.00,n/a,2354121.00
2017,December 22nd,Tiger Zinda Hai,Action,70959455.00,5560921.00,76520376.00
2017,December 22nd,Velaikkaran,Thriller/Suspense,9886215.00,n/a,9886215.00
2018,December 14th,The Second Time Around,Romantic Comedy,,3837.00,
2018,December 14th,Paris Opera Ballet: Tribute To Jerome Robbins,Concert/Performance,5259.00,n/a,5259.00
2018,December 14th,Painted Skin: The Double Mask,Thriller/Suspense,468683.00,n/a,468683.00
2018,December 14th,Mochila de plomo,Drama,4955.00,n/a,4955.00
2017,December 22nd,Yolki novye,Comedy,15738222.00,n/a,15738222.00
2018,December 14th,The Mule,Drama,69649587.00,103804407.00,173453994.00
2018,December 14th,Odiyan,Action,79385.00,n/a,79385.00
2018,December 14th,Miamor perdido,Comedy,1562666.00,n/a,1562666.00
2018,December 14th,Met Opera: La Traviata,Concert/Performance,410916.00,n/a,410916.00
2018,December 14th,Ming wang xing shi ke,Drama,83081.00,n/a,83081.00
2018,December 14th,The Man Who Stole Banksy,Documentary,89674.00,n/a,89674.00
2018,December 14th,Keepers of the Flame,Documentary,1361.00,n/a,1361.00
2018,December 14th,Journal 64,Thriller/Suspense,226791.00,n/a,226791.00
2018,December 14th,Jesucristo Superstar. Un hito en la historia del musical espaÃ±ol,Documentary,10.00,n/a,10.00
2018,December 14th,Johnny,Drama,248.00,n/a,248.00
2018,December 14th,Holding Hands,,5356.00,n/a,5356.00
2018,December 14th,Haru Matsu Bokura,,1302229.00,n/a,1302229.00
2018,December 14th,Impulso,Documentary,2580.00,n/a,2580.00
2018,December 14th,eoleuni doimyeon,Documentary,27150.00,n/a,27150.00
2018,December 14th,If Beale Street Could Talk,Drama,6482598.00,14915773.00,21398371.00
2018,December 14th,Den' Pobedy,Documentary,2324.00,n/a,2324.00
2018,January 16th,Dragon Ball Super: Broly,Action,92371000.00,30376755.00,122747755.00
2018,December 14th,The First Time,Drama,62950.00,n/a,62950.00
2018,December 14th,Conversazioni Atomiche,Documentary,2116.00,n/a,2116.00
2018,March 8th,Da xiang xi di er zuo,Drama,14702.00,n/a,14702.00
2017,December 22nd,Spindl,Comedy,2277204.00,n/a,2277204.00
2017,December 22nd,Sakka Podu Podu Raja,Comedy,1944.00,n/a,1944.00
2017,December 22nd,Romans,Drama,2741.00,n/a,2741.00
2018,December 14th,Chun Tian De Ma La Song,Drama,1371255.00,n/a,1371255.00
2017,December 22nd,Rangreza,Musical,56979.00,n/a,56979.00
2017,December 22nd,Seven Fright Nights,,94532.00,n/a,94532.00
2017,December 22nd,La promesse de l'aube,Documentary,9181824.00,n/a,9181824.00
2017,December 22nd,Muumien joulu,Adventure,515414.00,n/a,515414.00
2017,December 22nd,The Post,Drama,97865999.00,81903458.00,179769457.00
2017,December 22nd,QuizÃ¡s hoy,,282.00,n/a,282.00
2017,December 22nd,Mult v Kino: Vypusk No. 65,Adventure,56677.00,n/a,56677.00
2017,December 22nd,Miseinen dakedo kodomo janai,Comedy,5146046.00,n/a,5146046.00
2017,December 25th,Mollyâ€™s Game,Drama,24515680.00,28780744.00,53296424.00
2017,December 22nd,Lesa Humanitat,Documentary,2216.00,n/a,2216.00
2017,December 22nd,MartÄ±larÄ±n Efendisi,Drama,199953.00,n/a,199953.00
2017,December 22nd,Hotel Infierno,Horror,3784.00,n/a,3784.00
2017,December 22nd,Huisvrouwen Bestaan Niet,Comedy,3239032.00,n/a,3239032.00
2017,December 22nd,Jing hun qi you,Horror,114402.00,n/a,114402.00
2017,December 22nd,Hostiles,Western,7157222.00,29819114.00,36976336.00
2017,December 22nd,Hello,Action,4394131.00,n/a,4394131.00
2017,December 22nd,Gordon & Paddy,Adventure,96264.00,n/a,96264.00
2017,December 22nd,Garde alternÃ©e,Comedy,3907930.00,n/a,3907930.00
2017,December 22nd,DÃ¼s Kirginlari,Drama,2510.00,n/a,2510.00
2018,December 14th,The CBeebies Christmas Show: Thumbelina,Musical,274407.00,n/a,274407.00
2017,December 22nd,Father Figures,Comedy,3537197.00,17501244.00,21038441.00
2018,December 14th,Bon Bini Holland 2,,8664726.00,n/a,8664726.00
2018,December 14th,Beyond White Space,Thriller/Suspense,,n/a,
2018,December 14th,Bana Bir Soygun Yaz 2,Comedy,182040.00,n/a,182040.00
2018,December 14th,Bhajjo Veero Ve,Comedy,103289.00,n/a,103289.00
2017,December 22nd,Hangman,Thriller/Suspense,104503.00,n/a,104503.00
2018,December 14th,Antidote,Thriller/Suspense,,n/a,
2018,December 14th,Andre Rieu's Sydney Town Hall Concert - An Australian Celebration,Concert/Performance,2806603.00,n/a,2806603.00
2018,December 13th,Singsu,Horror,,n/a,
2018,December 13th,Maine,Drama,,n/a,
2018,December 13th,Why Are We Creative: The Centipede's Dilemma,Documentary,95567.00,n/a,95567.00
2018,December 13th,Il Testimone Invisibile,Thriller/Suspense,6750631.00,n/a,6750631.00
2018,December 14th,AÅŸk Bu mu?,Romantic Comedy,60183.00,n/a,60183.00
2018,December 13th,Khrustal,Drama,63603.00,n/a,63603.00
2018,December 13th,Owarani hito Miyazaki: Hayao,Documentary,,187320.00,
2018,December 21st,Bumblebee,Adventure,338000000.00,127195589.00,465195589.00
2018,December 13th,Bird Box,Thriller/Suspense,,n/a,
2018,December 13th,Un beau voyou,Comedy,501368.00,n/a,501368.00
2018,December 12th,The Photographer,Drama,3042381.00,n/a,3042381.00
2018,December 14th,Spider-Man: Into The Spider-Verse 3D,Adventure,184911728.00,190173195.00,375084923.00
2018,November 21st,Roma,Drama,1109544.00,n/a,1109544.00
2018,December 12th,The Gaelic Curse,Comedy,,n/a,
2018,December 12th,Pachamama,Adventure,1866211.00,n/a,1866211.00
2018,December 12th,RÃ©mi sans famille,Drama,7395953.00,n/a,7395953.00
2018,December 11th,Deadman Standing,Western,,n/a,
2018,December 11th,Dawning,,16504.00,n/a,16504.00
2018,December 12th,Dr. Huang Danian,Documentary,1420000.00,n/a,1420000.00
2017,December 22nd,Downsizing,Comedy,30013217.00,24449754.00,54462971.00
2017,December 22nd,Doctor Who: Twice Upon A Time,Adventure,223498.00,n/a,223498.00
2017,December 22nd,Cuando los Hijos Regresan,Comedy,2906566.00,n/a,2906566.00
2017,December 22nd,BelalÄ±lar,Western,257.00,n/a,257.00
2017,December 22nd,Arth: The Destination,Drama,13503.00,n/a,13503.00
2017,December 22nd,Before I Die,Horror,35841.00,n/a,35841.00
2017,December 22nd,AcÄ± TatlÄ± EkÅŸi,Drama,1957225.00,n/a,1957225.00
2017,December 22nd,Aadu 2,Comedy,4273904.00,n/a,4273904.00
2017,December 21st,The Lucky Man,Action,,25015.00,
2017,December 22nd,Pitch Perfect 3,Comedy,80838882.00,104897530.00,185736412.00
2017,December 21st,Masterpiece,Action,2787298.00,n/a,2787298.00
2017,December 21st,Mca: Middle Class Abbayi,Comedy,9939186.00,n/a,9939186.00
2017,July 6th,Ji Qi Zhi Xue,Action,47872755.00,n/a,47872755.00
2017,December 21st,Xin Li Zui Zhi Cheng Shi Zhi Guang,Thriller/Suspense,35045171.00,n/a,35045171.00
2017,January 5th,Namiya,Drama,35288134.00,39584.00,35327718.00
2017,December 20th,Jumanji: Welcome to the Jungle,Adventure,557104283.00,404508916.00,961613199.00
2017,December 15th,El Zoco de la Buri Buri,Documentary,467.00,n/a,467.00
2017,December 15th,YÃ´kai Watch 4,Adventure,18395457.00,n/a,18395457.00
2017,December 21st,Dieses bescheuerte Herz,Comedy,20096261.00,n/a,20096261.00
2017,December 15th,Das Versprechen,Documentary,,n/a,
2017,December 15th,Unexpectedly Yours,Romantic Comedy,45997.00,n/a,45997.00
2017,December 15th,Super Vacanze di Natale,Comedy,464275.00,n/a,464275.00
2017,December 20th,Holiday Inn: The New Irving Berlin Musical,Concert/Performance,14312.00,n/a,14312.00
2018,December 8th,Buttons,Drama,,n/a,
2018,December 7th,Yuan Qu De Mu Ge,Drama,1440000.00,n/a,1440000.00
2018,December 7th,Subrahmanyapuram,Thriller/Suspense,1167.00,n/a,1167.00
2018,December 7th,Son Ã‡Ä±kÄ±ÅŸ,Comedy,3308.00,n/a,3308.00
2018,December 7th,The Snowman and the Snowdog,Adventure,51844.00,n/a,51844.00
2018,December 7th,Vox Lux,Musical,556862.00,727119.00,1283981.00
2018,December 8th,Mult v. Kino Vypusk No. 86,Adventure,101015.00,n/a,101015.00
2018,December 21st,Second Act,Comedy,24006627.00,39282227.00,63288854.00
2018,December 7th,El Rey,Comedy,48259.00,n/a,48259.00
2018,December 7th,Åžeytan GeÃ§idi Enhara,Horror,12210.00,n/a,12210.00
2018,July 26th,Pupille,Drama,6826186.00,1737.00,6827923.00
2018,December 7th,Racetime,Adventure,1291454.00,n/a,1291454.00
2018,December 7th,Por amor al arte,Documentary,336.00,n/a,336.00
2018,December 11th,A Christmas Carol,Drama,441322.00,n/a,441322.00
2018,December 7th,Parque Mayer,Drama,250365.00,n/a,250365.00
2018,December 7th,ParanÄ±n Kokusu,Drama,287.00,n/a,287.00
2018,January 11th,Norm of the North: Keys to the Kingdom,Comedy,1091551.00,n/a,1091551.00
2018,December 7th,The Partyâ€™s Just Beginning,Drama,226.00,4145.00,4371.00
2018,December 7th,Ruleta Rusa,Drama,13752.00,n/a,13752.00
2018,December 7th,Mountain Rest,Drama,,n/a,
2017,December 15th,Sundowners,Comedy,,n/a,
2018,December 7th,Mi PequeÃ±o Gran Hombre,Comedy,1529896.00,n/a,1529896.00
2017,December 15th,Poyraz Karayel: KÃ¼resel Sermaye,Action,54455.00,n/a,54455.00
2017,December 15th,Permanent,Comedy,,12847.00,
2017,December 15th,Papita 2da Base,Romantic Comedy,41950000.00,n/a,41950000.00
2017,December 15th,Poveri ma Ricchissimi,Comedy,7396878.00,n/a,7396878.00
2017,December 15th,Pescadores,Action,645.00,n/a,645.00
2017,December 15th,Old Beast,Drama,311678.00,n/a,311678.00
2017,December 15th,NiÃ±a Perro,Drama,505.00,n/a,505.00
2017,December 15th,Novogodniy Perepolokh,Comedy,952127.00,n/a,952127.00
2017,December 15th,Natale da Chef,Comedy,3270987.00,n/a,3270987.00
2017,December 15th,Monsoon Shootout,Action,93721.00,n/a,93721.00
2017,January 19th,The Midnight Man,Horror,2526184.00,n/a,2526184.00
2017,December 15th,"Muchos Hijos, un Mono y un Castillo",Documentary,643281.00,n/a,643281.00
2017,December 15th,"Masoch, El camino del perro",Documentary,408.00,n/a,408.00
2017,November 2nd,Maria by Callas,Documentary,1530974.00,1264409.00,2795383.00
