year,release_date,title,genre,international_box_office,domestic_box_office,worldwide_box_office
2019,October 11th,Albanian Gangster,Drama,,n/a,
2019,October 11th,@buelos:nunca es tarde para emprender,Comedy,615317.00,n/a,615317.00
2019,October 11th,La Boda de la Abuela,Comedy,1144141.00,n/a,1144141.00
2019,October 11th,Aadya Rathri,Romantic Comedy,4918.00,n/a,4918.00
2019,October 10th,Yeoldu Beonjjae Yongeuija,Thriller/Suspense,35836.00,n/a,35836.00
2019,July 3rd,La vÃ©ritÃ©,Drama,5140200.00,9619.00,5149819.00
2019,October 11th,100 Acres of Hell,Horror,,5152.00,
2019,December 6th,Storia di B. â€” La scomparsa di mia madre,Documentary,12972.00,24951.00,37923.00
2019,October 10th,Manta Ray,Drama,5970.00,n/a,5970.00
2019,October 11th,The Addams Family,Adventure,102747294.00,97864733.00,200612027.00
2019,October 10th,Greta,Drama,,n/a,
2019,October 10th,Sem pyanits,Western,1545.00,n/a,1545.00
2019,October 10th,Ganagandharvan,Drama,2835.00,n/a,2835.00
2019,October 10th,Geran,Action,,n/a,
2019,October 10th,Devushki byvayut raznye,Comedy,1614224.00,n/a,1614224.00
2019,October 10th,The Rising Hawk,Action,4671.00,n/a,4671.00
2019,October 10th,Bolevoy porog,Action,52087.00,n/a,52087.00
2019,October 10th,Brave Ragazze,Comedy,559369.00,n/a,559369.00
2019,October 9th,Susanhhan Iut,Comedy,54687.00,n/a,54687.00
2019,October 9th,Pansori Bokseo,Drama,151777.00,n/a,151777.00
2019,October 18th,Zombieland: Double Tap,Comedy,49147888.00,73118130.00,122266018.00
2019,October 9th,Mister America,Comedy,,130897.00,
2019,October 9th,Chhota Bheem Kung Fu Dhamaka,Adventure,56039.00,n/a,56039.00
2019,October 4th,Wrinkles the Clown,Documentary,2575.00,14938.00,17513.00
2019,October 9th,Matthias & Maxime,Drama,1452188.00,365918.00,1818106.00
2019,October 4th,Wilkolak,Horror,3557.00,n/a,3557.00
2019,October 4th,The Woman Who Loves Giraffes,Documentary,,113858.00,
2019,October 4th,Winterland,Documentary,18661.00,n/a,18661.00
2019,October 4th,Varados,Documentary,3035.00,n/a,3035.00
2019,October 4th,Wallflower,Drama,,n/a,
2019,October 4th,Sharp the Bull,,114006.00,n/a,114006.00
2019,October 4th,Semper Fi,Drama,,n/a,
2019,October 4th,Vampirina: Fang-Tastic Party,Adventure,91861.00,n/a,91861.00
2019,October 4th,La Scala: Manon Lescaut,Concert/Performance,6329.00,n/a,6329.00
2019,October 4th,Royal Opera House: Don Giovanni,Concert/Performance,464706.00,n/a,464706.00
2019,October 4th,Robbery,Action,,n/a,
2019,October 4th,Rogue Warfare,Action,,n/a,
2019,October 4th,Le regard de Charles,Documentary,219802.00,n/a,219802.00
2019,October 4th,RomÃ¢nia neÃ®mblÃ¢nzitÄƒ,Documentary,267108.00,n/a,267108.00
2019,October 4th,Promised,Drama,248403.00,n/a,248403.00
2019,October 4th,"Psychomagie, un art pour guÃ©rir",Documentary,308233.00,n/a,308233.00
2019,October 4th,Que Sea Ley,Documentary,45431.00,n/a,45431.00
2019,October 4th,The Parts You Lose,Thriller/Suspense,,n/a,
2019,October 4th,Oroslan,Drama,1399.00,n/a,1399.00
2019,October 4th,Pretenders,Drama,,n/a,
2019,October 4th,My Soul to Keep,Horror,,n/a,
2019,October 4th,Ni Hao Xian Ren,Romantic Comedy,18466.00,n/a,18466.00
2019,December 10th,Mosley,Adventure,521199.00,n/a,521199.00
2019,October 4th,Mo,Thriller/Suspense,29384.00,n/a,29384.00
2019,October 4th,Mitsubachi to Enrai,Drama,3645910.00,n/a,3645910.00
2019,October 4th,Miss Virginia,Drama,,n/a,
2019,October 4th,MoromeÈ›ii 2,Drama,936747.00,n/a,936747.00
2019,October 4th,Marian paratiisi,Drama,,n/a,
2019,October 9th,Metallica & San Francisco Symphony S&M2,Concert/Performance,1273162.00,907163.00,2180325.00
2019,October 4th,Kusatma Yedi Uyuyanlar,Action,52371.00,n/a,52371.00
2019,October 4th,Losing Alaska,Documentary,2968.00,n/a,2968.00
2019,October 4th,Kita tylos pusÄ—,Drama,26257.00,n/a,26257.00
2019,October 4th,Kral Sakir Korsanlar Diyari,Adventure,6029972.00,n/a,6029972.00
2019,October 4th,Kapsalon Romy,Drama,191587.00,n/a,191587.00
2019,October 4th,J'irai oÃ¹ tu iras,Comedy,3374169.00,n/a,3374169.00
2019,October 4th,KeÅŸfedilmemiÅŸ Ã‡ocuklar,Drama,6174.00,n/a,6174.00
2019,October 4th,Hitsville: The Making Of Motown,Documentary,364437.00,n/a,364437.00
2019,October 4th,Lucy in the Sky,Drama,5967.00,319976.00,325943.00
2019,October 4th,Harry Birrell Presents Films Of Love And War,Documentary,6812.00,n/a,6812.00
2019,October 4th,Instinct,Drama,944604.00,n/a,944604.00
2019,October 4th,High & Low The Worst,Action,6081142.00,n/a,6081142.00
2019,October 4th,Hareket Sekiz,Action,275873.00,n/a,275873.00
2019,October 4th,Good Posture,Comedy,36444.00,n/a,36444.00
2019,June 12th,L'extraordinaire voyage de Marona,Adventure,49554.00,n/a,49554.00
2019,October 4th,F*ck de liefde,Romantic Comedy,3478577.00,n/a,3478577.00
2019,October 4th,"Ela Disse, Ele Disse",Comedy,810763.00,n/a,810763.00
2019,October 4th,Elvis Unleashed,Documentary,1067.00,n/a,1067.00
2019,October 4th,Diecisiete,Drama,15375.00,n/a,15375.00
2019,October 4th,Deutschstunde,Drama,1152502.00,n/a,1152502.00
2019,October 4th,Dert Bende,Comedy,14291.00,n/a,14291.00
2019,October 4th,Czarny Mercedes,Drama,90549.00,n/a,90549.00
2019,October 4th,El crack cero,Thriller/Suspense,370062.00,n/a,370062.00
2019,October 4th,El Coyote,Action,,n/a,
2019,October 4th,Chambord,Documentary,82841.00,n/a,82841.00
2019,October 4th,Cuck,Thriller/Suspense,,n/a,
2019,October 4th,Bonjour le monde!,Adventure,52871.00,n/a,52871.00
2019,October 4th,Eine ganz heiÃŸe Nummer 2.0,Romantic Comedy,785665.00,n/a,785665.00
2019,October 4th,Caminhos MagnÃ©tykos,Drama,1717.00,n/a,1717.00
2019,November 15th,Atlantique,Drama,408372.00,n/a,408372.00
2019,October 4th,Billy Connolly - The Sex Life Of Bandages,Concert/Performance,759685.00,n/a,759685.00
2019,October 4th,Avenida Almirante Reis em 3 andamentos,Documentary,1948.00,n/a,1948.00
2019,January 24th,Alice et le maire,Comedy,6159740.00,n/a,6159740.00
2019,October 4th,108 Costuras,Drama,562991.00,n/a,562991.00
2019,October 3rd,Wizard,Drama,224396.00,n/a,224396.00
2019,October 4th,Asuran,Action,115812.00,n/a,115812.00
2019,October 3rd,Non si puÃ² morire ballando,Comedy,5337.00,n/a,5337.00
2019,October 3rd,A Journey To The Seaside,Comedy,461674.00,n/a,461674.00
2019,October 3rd,Lyubi ikh vsekh,Drama,129523.00,n/a,129523.00
2019,October 3rd,Happy Little Submarines 4: Adventure of Octopus,Adventure,67838.00,n/a,67838.00
2019,March 6th,Hope Gap,Drama,1269026.00,104732.00,1373758.00
2019,October 3rd,Gyejeolgwa gyejeol sai,Drama,9397.00,n/a,9397.00
2019,October 3rd,"Free My Soul, Free My Song",Documentary,15455.00,n/a,15455.00
2019,October 2nd,Peopekteu Maen,Drama,8910359.00,n/a,8910359.00
2019,October 11th,Gemini Man,Action,118076935.00,48546770.00,166623705.00
2019,October 3rd,Appena un minuto,Comedy,223827.00,n/a,223827.00
2019,October 2nd,Kajang Botongui Yeonae,Romantic Comedy,21253248.00,n/a,21253248.00
2019,October 2nd,"Io, Leonardo",Drama,926142.00,n/a,926142.00
2019,October 3rd,Tuttapposto,Comedy,944729.00,n/a,944729.00
2019,October 1st,Placido Domingo - 50th Anniversary Gala Evening,Concert/Performance,259602.00,n/a,259602.00
2019,September 30th,Il sindaco del rione sanitÃ,Drama,465257.00,n/a,465257.00
2019,September 30th,Aquile Randagie,Drama,566764.00,n/a,566764.00
2019,October 4th,Joker,Thriller/Suspense,737056206.00,335451311.00,1072507517.00
2019,October 18th,Zhongguo jizhang,Drama,417143798.00,706572.00,417850370.00
2019,September 28th,Mult v. Kino Vypusk No. 103,Adventure,93867.00,n/a,93867.00
2019,September 30th,Pan Deng Zhe,Adventure,173521647.00,487157.00,174008804.00
2019,October 1st,Encounter,Thriller/Suspense,,n/a,
2019,September 27th,Websterovci 2: Zo Å¾ivota pavÃºkov,Adventure,35317.00,n/a,35317.00
2019,October 2nd,War,Action,4797722.00,3640355.00,8438077.00
2019,September 27th,Todas las pecas del mundo,Comedy,945614.00,n/a,945614.00
2019,September 27th,Sye Raa Narasimha Reddy,Drama,372410.00,n/a,372410.00
2019,September 27th,Sir-Ayet 2,Horror,94380.00,n/a,94380.00
2019,September 27th,Sister Aimee,Drama,,n/a,
2019,September 27th,Ride Like a Girl,Drama,9572060.00,n/a,9572060.00
2019,September 27th,Red Spring,Horror,4413.00,n/a,4413.00
2019,September 27th,Raising Buchanan,Black Comedy,,n/a,
2019,October 1st,Wo he wo de zu guo,Drama,463094610.00,2323409.00,465418019.00
2019,October 2nd,Roger Waters Us + Them,Documentary,682197.00,594982.00,1277179.00
2019,September 27th,Prey,Horror,71581.00,n/a,71581.00
2019,September 27th,Il Pianeta In Mare,Documentary,46355.00,n/a,46355.00
2019,September 27th,De Patrick,Drama,144436.00,n/a,144436.00
2019,September 27th,The Panti Sisters,Comedy,2263.00,n/a,2263.00
2019,May 28th,Port Authority,Drama,61744.00,n/a,61744.00
2019,September 27th,Obsession,Thriller/Suspense,,n/a,
2019,September 27th,Password,Drama,1610.00,n/a,1610.00
2019,September 27th,Nineteen Summers,Drama,,n/a,
2019,September 27th,Namma Veettu Pillai,Drama,99984.00,n/a,99984.00
2019,September 27th,NÃ¡rodnÃ­ tÅ™Ã­da,Drama,805620.00,n/a,805620.00
2019,September 27th,MonÈ™tri.,Drama,21107.00,n/a,21107.00
2019,September 27th,Misfit 2,Comedy,1525009.00,n/a,1525009.00
2019,September 27th,Mientras dure la guerra,Drama,13470199.00,n/a,13470199.00
2019,September 27th,Ninkyo Gakuen,Comedy,597134.00,n/a,597134.00
2019,June 26th,The Last Tree,Drama,218520.00,10128.00,228648.00
2019,September 27th,Kiangnan 1894,,710813.00,n/a,710813.00
2019,September 27th,KoÅ¡arkar naj bo 2,Comedy,412007.00,n/a,412007.00
