sales_id;year;release_date;title;genre;international_box_office;domestic_box_office;worldwide_box_office
1;2000;January 1st;Bakha Satang;Drama;76576;n/a;76576
2;2001;January 12th;Antitrust;Thriller/Suspense;6900000;10965209;17865209
3;2000;January 28th;Santitos;;;378562;
4;2002;2002 (Wide) by ;Frank McKlusky C.I.;;;n/a;
5;2002;January 25th;A Walk to Remember;Drama;4833792;41227069;46060861
6;2002;June 21st;Zig Zag;;;1649;
7;2002;May 10th;TakhtÃƒÂ© siah;Drama;;21324;
8;2009;January 2nd;Angry Monk: Reflections on Tibet, The;Documentary;;2125;
9;2002;June 7th;30 Years to Life;Comedy;;99023;
10;2008;January 2nd;The Killing of John Lennon;Drama;;6975;
11;2008;January 18th;Mad Money;Comedy;4375214;20668843;25044057
12;2008;January 18th;Little Chenier;Drama;;87939;
13;2008;February 1st;Over Her Dead Body;Comedy;14025947;7570127;21596074
14;2008;February 15th;O Ano em Que Meus Pais SaÃƒÂ­ram de FÃƒÂ©rias;Drama;1800000;807117;2607117
15;2008;February 15th;120;Drama;1334204;n/a;1334204
16;2008;February 29th;The Other Boleyn Girl;Drama;51455013;26814957;78269970
17;2008;February 29th;A Lawyer Walks into a Bar;Documentary;;5202;
18;2008;March 8th;La Rondine;Concert/Performance;;49088;
19;2011;December 30th;Jodaeiye Nader az Simin;Drama;17327677;7098492;24426169
20;2011;December 28th;Pariah;Drama;;769552;
21;2011;December 25th;War Horse;Drama;76932170;79883359;156815529
22;2011;April 6th;Habemus Papam;Comedy;9917173;486902;10404075
23;2011;December 29th;Ivan Tsarevich i Seryy Volk;Action;25047727;n/a;25047727
24;2011;December 28th;El Sicario Room 164;Documentary;;n/a;
25;2011;December 25th;Extremely Loud and Incredibly Close;Drama;23400000;31847881;55247881
26;2011;December 30th;Angels Crest;Drama;1205;832;2037
27;2011;December 28th;Paranormal Xperience;Horror;2812739;n/a;2812739
28;2011;December 25th;The Darkest Hour;Action;41388221;21443494;62831715
29;2011;December 23rd;Miss Minoes;Adventure;;10189;
30;2011;November 26th;We Bought a Zoo;Drama;43104523;75624550;118729073
31;2014;November 21st;Minuscule - La vallÃƒÂ©e des fourmis perdues;Adventure;1058457;n/a;1058457
32;2011;May 11th;Kiseki;Drama;766350;145808;912158
33;2011;December 23rd;In The Land of Blood and Honey;Drama;205316;303877;509193
34;2011;December 23rd;Prince of the Himalayas;Drama;;9178;
35;2011;December 22nd;Don 2;Action;30378610;3674480;34053090
36;2014;December 12th;We Are the Giant;Documentary;;1088;
37;2014;December 31st;Wang Pai;Drama;4590000;n/a;4590000
38;2015;July 24th;The Young Kieslowski;Romantic Comedy;;n/a;
39;2015;June 10th;Last Cab to Darwin;Drama;5786944;34193;5821137
40;2014;December 12th;Cong cong na nian;Drama;93470000;566853;94036853
41;2015;July 31st;Ghadi;Comedy;70149;n/a;70149
42;2015;July 31st;Fair Play;Drama;8747;n/a;8747
43;2015;August 14th;Meru;Documentary;16592;2334228;2350820
44;2015;August 21st;Station to Station;Documentary;1036;9494;10530
45;2015;August 14th;Karachi se Lahore;Comedy;17721;n/a;17721
46;2015;December 4th;Atrapa la bandera;Adventure;21131406;n/a;21131406
47;2015;September 10th;Alma;Romantic Comedy;567607;n/a;567607
48;2015;August 28th;Boca Juniors 3D, la pelÃƒÂ­cula;Documentary;2171383;n/a;2171383
49;2015;September 18th;Life of Josutty;Comedy;7870;n/a;7870
50;2015;September 9th;Welcome to Leith;Documentary;381;36010;36391
51;2015;September 25th;Eso que llaman amor;Drama;231;n/a;231
52;2015;September 18th;The Man Who Saved the World;Documentary;2855;n/a;2855
53;2014;December 31st;Yuan Ling Ren Ou;Horror;3590000;n/a;3590000
54;2015;October 2nd;Hip Hop-eration;Documentary;6203;n/a;6203
55;2015;October 16th;Kleine Ziege, sturer Bock;Comedy;67838;n/a;67838
56;2015;October 9th;Vesvese: Cin Tuzagi;Horror;15193;n/a;15193
57;2015;October 16th;Truth;Thriller/Suspense;4300726;2541854;6842580
58;2015;October 30th;Geunomida;Thriller/Suspense;697826;n/a;697826
59;2015;October 30th;Wo shi zheng ren;Thriller/Suspense;31424661;409644;31834305
60;2015;November 6th;Sarancha;Drama;431000;n/a;431000
61;2015;May 20th;HÃƒÂ¢monÃƒÂ®;Action;407320;23248;430568
62;2015;November 20th;Dobbiamo parlare;Comedy;583290;n/a;583290
63;2015;December 3rd;600 Millas;Thriller/Suspense;284803;n/a;284803
64;2015;November 13th;Hot Sugar's Cold World;Documentary;;n/a;
65;2015;October 2nd;Hell & Back;Adventure;;157768;
66;2015;December 4th;Rajini Murugan;Comedy;151741;n/a;151741
67;2015;November 13th;Une Histoire de Fou;Drama;314458;n/a;314458
68;2015;December 25th;Point Break;Action;97922110;28782481;126704591
69;2016;October 28th;Desu nÃƒÂ´to: Light Up the New World;Thriller/Suspense;18901839;n/a;18901839
70;2016;November 11th;Disturbing the Peace;Documentary;;25287;
71;2015;December 18th;Star Wars Ep. VII: The Force Awakens;Adventure;1127953592;936662225;2064615817
72;2016;November 11th;Doctor Who: The Power of the Daleks;Action;116162;n/a;116162
73;2015;December 18th;Le grand jeu;;226708;n/a;226708
74;2016;November 25th;Bellas de Noche;Documentary;;n/a;
75;2015;December 25th;The Revenant;Adventure;349300408;183637894;532938302
76;2016;November 25th;The Unmarried Wife;Drama;66140;n/a;66140
77;2016;December 2nd;Sha Mo Zhi Xin;;49204;n/a;49204
78;2016;December 16th;Poveri ma Ricchi;Comedy;7259767;n/a;7259767
79;2016;November 18th;Nuo Lietuvos nepabÃ„â€”gsi;Drama;2465;n/a;2465
80;2016;December 9th;Somewhere Connected;;19291;n/a;19291
81;2018;November 29th;Lo peor de los deseos;Drama;;n/a;
82;2016;December 30th;PÃƒÂ¨re fils thÃƒÂ©rapie!;Comedy;1453270;n/a;1453270
83;2018;April 12th;Di Qiu Zui Hou De Ye Wang;Drama;41619365;521365;42140730
84;2018;December 7th;Doktor Martin: ZÃƒÂ¡hada v Beskydech;Comedy;31651;n/a;31651
85;2018;December 30th;Battle of Tortoise and Rabbit;;1494779;n/a;1494779
86;2018;December 30th;Alibaba The Three Golden Hair;Adventure;1476950;n/a;1476950
87;2018;December 29th;Duan Pian Er;Comedy;7423443;n/a;7423443
88;2018;January 4th;Yun Nan Chong Gu Yunnan Valley;Action;22268448;101516;22369964
89;2018;December 30th;Two Small Pigs Brave The Mysterious Island;Adventure;744017;n/a;744017
90;2018;December 28th;Trolled;Adventure;32834;n/a;32834
91;2018;December 28th;Tiempo despuÃƒÂ©s;Comedy;1736358;n/a;1736358
92;2018;December 28th;Stan & Ollie;Drama;23592439;5470235;29062674
93;2018;December 28th;The Work Wife;Drama;;n/a;
94;2018;December 28th;Tarp mÃ…Â«sÃ…Â³ mergaiÃ„ï¿½iÃ…Â³;Comedy;666106;n/a;666106
95;2018;December 28th;TrileÃƒÂ§e;Drama;54;n/a;54
96;2018;December 28th;Rio Mekong;Documentary;453;n/a;453
97;2018;December 28th;Simmba;Action;2255389;5102129;7357518
98;2018;December 28th;Pech to nie grzech;Romantic Comedy;2042938;n/a;2042938
99;2018;December 28th;MÃƒÂ¼saadenizle BÃƒÂ¼yÃƒÂ¼kler;Adventure;45185;n/a;45185
100;2018;December 28th;The Most Beautiful Season;Drama;218412;n/a;218412
101;2018;December 28th;Shou Ji Kuang Xiang;Drama;94951615;n/a;94951615
102;2018;December 28th;One Shot;Drama;1127;n/a;1127
103;2018;December 28th;Konna Yofuke Ni Banana Kayo: Kanashiki Jitsuwa;Comedy;8652004;n/a;8652004
104;2018;December 28th;Njan Prakashan;Drama;57375;n/a;57375
105;2018;December 28th;Minha Vida em Marte;Comedy;21105636;n/a;21105636
106;2018;December 28th;K.G.F: Chapter 1;Action;27179;n/a;27179
107;2018;December 28th;Der kleine Drache Kokosnuss - Auf in den Dschungel!;Adventure;1866262;n/a;1866262
108;2018;December 28th;jeombaki hanbandoeui gongryong 2 saeroun nakwon;Adventure;3783492;n/a;3783492
109;2018;December 28th;Chef;Documentary;94;n/a;94
110;2018;December 28th;Benji;Adventure;585333;n/a;585333
111;2018;December 27th;T-34;Drama;39526616;n/a;39526616
112;2018;December 28th;BÃƒÂ¶rÃƒÂ¼;Drama;1441948;n/a;1441948
113;2018;December 27th;Der Junge muss an die frische Luft;Comedy;31920181;n/a;31920181
114;2018;December 27th;Yolki Posledniye;Comedy;11499494;n/a;11499494
115;2018;December 28th;Cuando Brillan las Estrellas;Comedy;2506;n/a;2506
116;2018;December 27th;Au bout des doigts;Drama;3712903;n/a;3712903
117;2018;December 26th;Un violent dÃƒÂ©sir de bonheur;Drama;;n/a;
118;2018;December 27th;La befana vien di notte;Comedy;9166973;n/a;9166973
119;2018;January 4th;PMC: deo beong-keo;Action;12478635;n/a;12478635
120;2018;December 27th;Moschettieri del Re - La penultima missione;Comedy;5728962;n/a;5728962
121;2018;December 22nd;Mult v. Kino Vypusk No. 87;Adventure;100689;n/a;100689
122;2018;July 19th;L'homme fidÃƒÂ¨le;Romantic Comedy;1861933;77776;1939709
123;2018;January 11th;Perfectos desconocidos;Comedy;6880839;1014507;7895346
124;2018;December 21st;Zerk;Horror;8785;n/a;8785
125;2018;December 25th;Destroyer;Thriller/Suspense;4332165;1533324;5865489
126;2018;December 21st;Zero;Comedy;1995127;n/a;1995127
127;2018;December 21st;YanÃ„Â±mda Kal;Drama;69938;n/a;69938
128;2018;April 12th;Ye Wen hui chuan: Zhang Tianzhi;Action;19572493;209454;19781947
129;2018;April 12th;Mia et le lion blanc;Drama;33899357;400498;34299855
130;2018;December 21st;Wu Lin Guai Shou;Action;11573104;n/a;11573104
131;2018;December 22nd;Kamen RaidÃƒÂ¢ Heisei JenerÃƒÂªshonzu FoebÃƒÂ¢;Action;12465928;n/a;12465928
132;2018;December 21st;Welcome to Marwen;Drama;2322617;10763520;13086137
133;2018;December 21st;Vergara;;3695;n/a;3695
134;2018;December 25th;Vice;Black Comedy;23057500;47836282;70893782
135;2018;December 21st;Tian Qi Yu Bao;Adventure;18382575;103053;18485628
136;2018;December 21st;The Soul of Shui People in 1944;Drama;599574;n/a;599574
137;2018;December 21st;Snezhnaya koroleva. Zazerkale;Adventure;9456027;n/a;9456027
138;2018;December 21st;Unknown Distance;Documentary;;n/a;
139;2018;December 21st;Silukkuvarpatti Singam;Drama;405;n/a;405
140;2018;December 21st;The Revenge of Phantom Knight;Horror;23369;n/a;23369
141;2018;December 21st;Padi Padi Leche Manasu;Drama;20916;n/a;20916
142;2018;December 21st;SÃƒÂ¼kut Evi;Drama;262;n/a;262
143;2018;December 21st;Porno para principiantes;Comedy;9848;n/a;9848
144;2018;December 21st;Patrolman Baoyin;Drama;100000;n/a;100000
145;2018;December 21st;The Last Resort;Documentary;;158646;
146;2018;December 21st;National Theatre Live: Antony & Cleopatra;Concert/Performance;891885;n/a;891885
147;2018;December 21st;Maari 2;Comedy;68392;n/a;68392
148;2018;December 21st;Kanaa;Drama;2999;n/a;2999
149;2018;December 21st;Hugo Paco Luis y tres chicas de rosa;;100;n/a;100
150;2018;December 21st;Kurtlar ve Ãƒâ€¡akallar;Drama;11593;n/a;11593
151;2018;December 21st;Fabeltjeskrant: De Grote Dierenbos-Spelen.;Adventure;728944;n/a;728944
152;2018;December 21st;The Connection;Drama;3739582;n/a;3739582
153;2018;December 21st;Delaware Shore;Drama;;n/a;
154;2018;December 21st;Dantza;Musical;262301;n/a;262301
155;2018;December 21st;D.P.A. Detetives Do PrÃƒÂ©dio Azul 2 - O Filme;Adventure;4432618;n/a;4432618
156;2018;December 21st;Between Worlds;Thriller/Suspense;;n/a;
157;2018;December 21st;Antariksham 9000 kmph;Adventure;39040;n/a;39040
158;2018;December 21st;Blue Amber;Drama;25049;n/a;25049
159;2018;December 21st;AÃƒÂ¯lo: Une odyssÃƒÂ©e en Laponie;Documentary;1991200;n/a;1991200
160;2018;December 21st;Adanga Maru;Action;30612;n/a;30612
161;2018;December 20th;Tri bogatyrya i Naslednitsa prestola;Adventure;9343851;n/a;9343851
162;2018;December 21st;Bolshoi Ballet: The Nutcracker;Concert/Performance;354373;n/a;354373
163;2018;December 25th;Holmes & Watson;Comedy;11357862;30568743;41926605
164;2017;December 29th;Zanjas;Thriller/Suspense;570;n/a;570
165;2018;December 20th;ItÃ¢â‚¬â„¢s March 3Rd Again;Drama;1160000;n/a;1160000
166;2017;February 14th;The Wedding Party 2: Destination Dubai;Comedy;61975;11140;73115
167;2017;December 29th;Sin Filtro;Comedy;174;n/a;174
168;2017;January 5th;Yao Ling Ling;Comedy;57442237;186135;57628372
169;2018;December 20th;Politseyskiy s Rublyovki. Novogodniy bespredel;Comedy;27061365;n/a;27061365
170;2017;December 29th;ParayÃ„Â± Bulduk;Comedy;16590;n/a;16590
171;2017;December 29th;Napoli Velata;Drama;7197082;n/a;7197082
172;2017;December 29th;KlasÃ„â€”s susitikimas: berniukai sugrÃ„Â¯Ã…Â¾ta!;Comedy;1636978;n/a;1636978
173;2017;December 29th;Kalavaadiya Pozhuthugal;Drama;5317;n/a;5317
174;2017;December 29th;Momo;Comedy;5181844;n/a;5181844
175;2017;December 29th;Gulu Mermaid 2;Adventure;1653264;n/a;1653264
176;2017;December 29th;Gandarrappido!: The Revenger Squad;Comedy;21271;n/a;21271
177;2017;December 29th;Fala SÃƒÂ©rio, MÃƒÂ£e!;Comedy;11616161;n/a;11616161
178;2017;December 29th;L'ÃƒÂ©change des princesses;Drama;3078723;n/a;3078723
179;2017;December 29th;Okka Kshanam;Thriller/Suspense;1516;n/a;1516
180;2017;December 29th;Forget About Nick;Romantic Comedy;41963;n/a;41963
181;2017;December 29th;Come Un Gatto in Tangenziale;Comedy;11282642;n/a;11282642
182;2018;December 21st;Seuwingkizeu;Drama;10681258;222001;10903259
183;2018;December 20th;Capri-Revolution;Drama;828363;n/a;828363
184;2018;December 19th;Maya;Drama;130997;n/a;130997
185;2018;December 19th;Mayakwang;Action;14446477;n/a;14446477
186;2018;December 19th;Nachtwacht: De Poort der Zielen;;198335;n/a;198335
187;2018;December 19th;L'Empereur de Paris;Adventure;8628811;n/a;8628811
188;2018;December 19th;Le gendre de ma vie;Comedy;3623355;n/a;3623355
189;2018;December 19th;Amici come Prima;Comedy;9367230;n/a;9367230
190;2018;December 18th;Zhong Guo He Huo Ren 2;Drama;3004460;n/a;3004460
191;2018;December 19th;Mary Poppins Returns;Musical;176942594;171958438;348901032
192;2018;December 16th;A Christmas Carol;Adventure;;n/a;
193;2018;December 14th;The Wedding;Drama;2513;n/a;2513
194;2018;December 14th;Yo-kai Watch Movie 5: Forever Friends;Adventure;10441722;n/a;10441722
195;2018;December 14th;Volver a Boedo;Documentary;16032;n/a;16032
196;2018;December 14th;Yuli;Drama;4326104;n/a;4326104
197;2018;December 14th;Turtle Odyssey 3d;Documentary;141256;n/a;141256
198;2018;December 14th;Three Words to Forever;;17076;n/a;17076
199;2018;December 14th;Trote;Drama;6538;n/a;6538
200;2018;December 14th;That Way Madness Lies;Documentary;;1447;
201;2018;December 14th;La vida que te agenciaste;Documentary;63;n/a;63
202;2018;December 14th;There Will Be Ample Time;Comedy;9135;n/a;9135
203;2018;December 14th;Stolen Fairytales;Comedy;5197;n/a;5197
204;2017;December 29th;Ãƒâ€¡at Kapi Ask;Romantic Comedy;36969;n/a;36969
205;2018;December 14th;Skjelvet;Thriller/Suspense;4046173;6235;4052408
206;2017;February 9th;CaffÃƒÂ¨;Drama;157683;n/a;157683
207;2018;December 14th;Seethakaathi;Drama;10103;n/a;10103
208;2017;December 29th;Balloon;Horror;2186353;n/a;2186353
209;2017;December 29th;Barkley;Adventure;1926435;n/a;1926435
210;2017;February 9th;Basmati Blues;Musical;15651;n/a;15651
211;2017;December 29th;ASYA;Drama;2;n/a;2
212;2017;December 29th;Anons;Drama;24879;n/a;24879
213;2017;December 29th;Aruvi;Drama;863;n/a;863
214;2017;December 28th;Dvizhenie Vverkh;Drama;61925449;n/a;61925449
215;2017;January 5th;Er Dai Yao Jing;Romantic Comedy;46154324;n/a;46154324
216;2017;December 18th;1987: When the Day Comes;Drama;51775357;n/a;51775357
217;2017;December 29th;Qian Ren 3: Yan Zhi Da Zuo Zhan;Comedy;306710033;837791;307547824
218;2017;December 23rd;Revenge Girl;Drama;1302754;n/a;1302754
219;2017;December 25th;Phantom Thread;Drama;26613994;21198205;47812199
220;2017;December 29th;Berliner Philharmoniker: New Year's Eve Concert;Concert/Performance;83045;n/a;83045
221;2017;December 22nd;Yao Mao Zhuan;Drama;97033612;n/a;97033612
222;2017;December 25th;All the Money in the World;Thriller/Suspense;31784324;25106325;56890649
223;2017;December 22nd;Tri Bogatyrya i Printsessa Egipta;Adventure;14184772;n/a;14184772
224;2017;December 22nd;Tout lÃƒÂ -haut;Adventure;2354121;n/a;2354121
225;2017;December 22nd;Tiger Zinda Hai;Action;70959455;5560921;76520376
226;2017;December 22nd;Velaikkaran;Thriller/Suspense;9886215;n/a;9886215
227;2018;December 14th;The Second Time Around;Romantic Comedy;;3837;
228;2018;December 14th;Paris Opera Ballet: Tribute To Jerome Robbins;Concert/Performance;5259;n/a;5259
229;2018;December 14th;Painted Skin: The Double Mask;Thriller/Suspense;468683;n/a;468683
230;2018;December 14th;Mochila de plomo;Drama;4955;n/a;4955
231;2017;December 22nd;Yolki novye;Comedy;15738222;n/a;15738222
232;2018;December 14th;The Mule;Drama;69649587;103804407;173453994
233;2018;December 14th;Odiyan;Action;79385;n/a;79385
234;2018;December 14th;Miamor perdido;Comedy;1562666;n/a;1562666
235;2018;December 14th;Met Opera: La Traviata;Concert/Performance;410916;n/a;410916
236;2018;December 14th;Ming wang xing shi ke;Drama;83081;n/a;83081
237;2018;December 14th;The Man Who Stole Banksy;Documentary;89674;n/a;89674
238;2018;December 14th;Keepers of the Flame;Documentary;1361;n/a;1361
239;2018;December 14th;Journal 64;Thriller/Suspense;226791;n/a;226791
240;2018;December 14th;Jesucristo Superstar. Un hito en la historia del musical espaÃƒÂ±ol;Documentary;10;n/a;10
241;2018;December 14th;Johnny;Drama;248;n/a;248
242;2018;December 14th;Holding Hands;;5356;n/a;5356
243;2018;December 14th;Haru Matsu Bokura;;1302229;n/a;1302229
244;2018;December 14th;Impulso;Documentary;2580;n/a;2580
245;2018;December 14th;eoleuni doimyeon;Documentary;27150;n/a;27150
246;2018;December 14th;If Beale Street Could Talk;Drama;6482598;14915773;21398371
247;2018;December 14th;Den' Pobedy;Documentary;2324;n/a;2324
248;2018;January 16th;Dragon Ball Super: Broly;Action;92371000;30376755;122747755
249;2018;December 14th;The First Time;Drama;62950;n/a;62950
250;2018;December 14th;Conversazioni Atomiche;Documentary;2116;n/a;2116
251;2018;March 8th;Da xiang xi di er zuo;Drama;14702;n/a;14702
252;2017;December 22nd;Spindl;Comedy;2277204;n/a;2277204
253;2017;December 22nd;Sakka Podu Podu Raja;Comedy;1944;n/a;1944
254;2017;December 22nd;Romans;Drama;2741;n/a;2741
255;2018;December 14th;Chun Tian De Ma La Song;Drama;1371255;n/a;1371255
256;2017;December 22nd;Rangreza;Musical;56979;n/a;56979
257;2017;December 22nd;Seven Fright Nights;;94532;n/a;94532
258;2017;December 22nd;La promesse de l'aube;Documentary;9181824;n/a;9181824
259;2017;December 22nd;Muumien joulu;Adventure;515414;n/a;515414
260;2017;December 22nd;The Post;Drama;97865999;81903458;179769457
261;2017;December 22nd;QuizÃƒÂ¡s hoy;;282;n/a;282
262;2017;December 22nd;Mult v Kino: Vypusk No. 65;Adventure;56677;n/a;56677
263;2017;December 22nd;Miseinen dakedo kodomo janai;Comedy;5146046;n/a;5146046
264;2017;December 25th;MollyÃ¢â‚¬â„¢s Game;Drama;24515680;28780744;53296424
265;2017;December 22nd;Lesa Humanitat;Documentary;2216;n/a;2216
266;2017;December 22nd;MartÃ„Â±larÃ„Â±n Efendisi;Drama;199953;n/a;199953
267;2017;December 22nd;Hotel Infierno;Horror;3784;n/a;3784
268;2017;December 22nd;Huisvrouwen Bestaan Niet;Comedy;3239032;n/a;3239032
269;2017;December 22nd;Jing hun qi you;Horror;114402;n/a;114402
270;2017;December 22nd;Hostiles;Western;7157222;29819114;36976336
271;2017;December 22nd;Hello;Action;4394131;n/a;4394131
272;2017;December 22nd;Gordon & Paddy;Adventure;96264;n/a;96264
273;2017;December 22nd;Garde alternÃƒÂ©e;Comedy;3907930;n/a;3907930
274;2017;December 22nd;DÃƒÂ¼s Kirginlari;Drama;2510;n/a;2510
275;2018;December 14th;The CBeebies Christmas Show: Thumbelina;Musical;274407;n/a;274407
276;2017;December 22nd;Father Figures;Comedy;3537197;17501244;21038441
277;2018;December 14th;Bon Bini Holland 2;;8664726;n/a;8664726
278;2018;December 14th;Beyond White Space;Thriller/Suspense;;n/a;
279;2018;December 14th;Bana Bir Soygun Yaz 2;Comedy;182040;n/a;182040
280;2018;December 14th;Bhajjo Veero Ve;Comedy;103289;n/a;103289
281;2017;December 22nd;Hangman;Thriller/Suspense;104503;n/a;104503
282;2018;December 14th;Antidote;Thriller/Suspense;;n/a;
283;2018;December 14th;Andre Rieu's Sydney Town Hall Concert - An Australian Celebration;Concert/Performance;2806603;n/a;2806603
284;2018;December 13th;Singsu;Horror;;n/a;
285;2018;December 13th;Maine;Drama;;n/a;
286;2018;December 13th;Why Are We Creative: The Centipede's Dilemma;Documentary;95567;n/a;95567
287;2018;December 13th;Il Testimone Invisibile;Thriller/Suspense;6750631;n/a;6750631
288;2018;December 14th;AÃ…Å¸k Bu mu?;Romantic Comedy;60183;n/a;60183
289;2018;December 13th;Khrustal;Drama;63603;n/a;63603
290;2018;December 13th;Owarani hito Miyazaki: Hayao;Documentary;;187320;
291;2018;December 21st;Bumblebee;Adventure;338000000;127195589;465195589
292;2018;December 13th;Bird Box;Thriller/Suspense;;n/a;
293;2018;December 13th;Un beau voyou;Comedy;501368;n/a;501368
294;2018;December 12th;The Photographer;Drama;3042381;n/a;3042381
295;2018;December 14th;Spider-Man: Into The Spider-Verse 3D;Adventure;184911728;190173195;375084923
296;2018;November 21st;Roma;Drama;1109544;n/a;1109544
297;2018;December 12th;The Gaelic Curse;Comedy;;n/a;
298;2018;December 12th;Pachamama;Adventure;1866211;n/a;1866211
299;2018;December 12th;RÃƒÂ©mi sans famille;Drama;7395953;n/a;7395953
300;2018;December 11th;Deadman Standing;Western;;n/a;
301;2018;December 11th;Dawning;;16504;n/a;16504
302;2018;December 12th;Dr. Huang Danian;Documentary;1420000;n/a;1420000
303;2017;December 22nd;Downsizing;Comedy;30013217;24449754;54462971
304;2017;December 22nd;Doctor Who: Twice Upon A Time;Adventure;223498;n/a;223498
305;2017;December 22nd;Cuando los Hijos Regresan;Comedy;2906566;n/a;2906566
306;2017;December 22nd;BelalÃ„Â±lar;Western;257;n/a;257
307;2017;December 22nd;Arth: The Destination;Drama;13503;n/a;13503
308;2017;December 22nd;Before I Die;Horror;35841;n/a;35841
309;2017;December 22nd;AcÃ„Â± TatlÃ„Â± EkÃ…Å¸i;Drama;1957225;n/a;1957225
310;2017;December 22nd;Aadu 2;Comedy;4273904;n/a;4273904
311;2017;December 21st;The Lucky Man;Action;;25015;
312;2017;December 22nd;Pitch Perfect 3;Comedy;80838882;104897530;185736412
313;2017;December 21st;Masterpiece;Action;2787298;n/a;2787298
314;2017;December 21st;Mca: Middle Class Abbayi;Comedy;9939186;n/a;9939186
315;2017;July 6th;Ji Qi Zhi Xue;Action;47872755;n/a;47872755
316;2017;December 21st;Xin Li Zui Zhi Cheng Shi Zhi Guang;Thriller/Suspense;35045171;n/a;35045171
317;2017;January 5th;Namiya;Drama;35288134;39584;35327718
318;2017;December 20th;Jumanji: Welcome to the Jungle;Adventure;557104283;404508916;961613199
319;2017;December 15th;El Zoco de la Buri Buri;Documentary;467;n/a;467
320;2017;December 15th;YÃƒÂ´kai Watch 4;Adventure;18395457;n/a;18395457
321;2017;December 21st;Dieses bescheuerte Herz;Comedy;20096261;n/a;20096261
322;2017;December 15th;Das Versprechen;Documentary;;n/a;
323;2017;December 15th;Unexpectedly Yours;Romantic Comedy;45997;n/a;45997
324;2017;December 15th;Super Vacanze di Natale;Comedy;464275;n/a;464275
325;2017;December 20th;Holiday Inn: The New Irving Berlin Musical;Concert/Performance;14312;n/a;14312
326;2018;December 8th;Buttons;Drama;;n/a;
327;2018;December 7th;Yuan Qu De Mu Ge;Drama;1440000;n/a;1440000
328;2018;December 7th;Subrahmanyapuram;Thriller/Suspense;1167;n/a;1167
329;2018;December 7th;Son Ãƒâ€¡Ã„Â±kÃ„Â±Ã…Å¸;Comedy;3308;n/a;3308
330;2018;December 7th;The Snowman and the Snowdog;Adventure;51844;n/a;51844
331;2018;December 7th;Vox Lux;Musical;556862;727119;1283981
332;2018;December 8th;Mult v. Kino Vypusk No. 86;Adventure;101015;n/a;101015
333;2018;December 21st;Second Act;Comedy;24006627;39282227;63288854
334;2018;December 7th;El Rey;Comedy;48259;n/a;48259
335;2018;December 7th;Ã…Å¾eytan GeÃƒÂ§idi Enhara;Horror;12210;n/a;12210
336;2018;July 26th;Pupille;Drama;6826186;1737;6827923
337;2018;December 7th;Racetime;Adventure;1291454;n/a;1291454
338;2018;December 7th;Por amor al arte;Documentary;336;n/a;336
339;2018;December 11th;A Christmas Carol;Drama;441322;n/a;441322
340;2018;December 7th;Parque Mayer;Drama;250365;n/a;250365
341;2018;December 7th;ParanÃ„Â±n Kokusu;Drama;287;n/a;287
342;2018;January 11th;Norm of the North: Keys to the Kingdom;Comedy;1091551;n/a;1091551
343;2018;December 7th;The PartyÃ¢â‚¬â„¢s Just Beginning;Drama;226;4145;4371
344;2018;December 7th;Ruleta Rusa;Drama;13752;n/a;13752
345;2018;December 7th;Mountain Rest;Drama;;n/a;
346;2017;December 15th;Sundowners;Comedy;;n/a;
347;2018;December 7th;Mi PequeÃƒÂ±o Gran Hombre;Comedy;1529896;n/a;1529896
348;2017;December 15th;Poyraz Karayel: KÃƒÂ¼resel Sermaye;Action;54455;n/a;54455
349;2017;December 15th;Permanent;Comedy;;12847;
350;2017;December 15th;Papita 2da Base;Romantic Comedy;41950000;n/a;41950000
351;2017;December 15th;Poveri ma Ricchissimi;Comedy;7396878;n/a;7396878
352;2017;December 15th;Pescadores;Action;645;n/a;645
353;2017;December 15th;Old Beast;Drama;311678;n/a;311678
354;2017;December 15th;NiÃƒÂ±a Perro;Drama;505;n/a;505
355;2017;December 15th;Novogodniy Perepolokh;Comedy;952127;n/a;952127
356;2017;December 15th;Natale da Chef;Comedy;3270987;n/a;3270987
357;2017;December 15th;Monsoon Shootout;Action;93721;n/a;93721
358;2017;January 19th;The Midnight Man;Horror;2526184;n/a;2526184
359;2017;December 15th;Muchos Hijos, un Mono y un Castillo;Documentary;643281;n/a;643281
360;2017;December 15th;Masoch, El camino del perro;Documentary;408;n/a;408
361;2017;November 2nd;Maria by Callas;Documentary;1530974;1264409;2795383
362;2017;December 15th;Journey Of Bhangover;Thriller/Suspense;1760;n/a;1760
363;2017;December 15th;Hard Kaur;Drama;3162;n/a;3162
364;2018;December 7th;Nona;Drama;;n/a;
365;2017;December 15th;K3 Love Cruise;Musical;1081993;n/a;1081993
366;2017;December 15th;Game Of Ayodhya;Drama;5152;n/a;5152
367;2017;January 11th;DrÃƒÂ´les de petites bÃƒÂªtes;Adventure;14163162;n/a;14163162
368;2017;December 15th;Papatya;Comedy;2057;n/a;2057
369;2017;December 15th;Ek Andekha Sach;Drama;1992;n/a;1992
370;2018;December 7th;Merry Men: The Real Yoruba Demons;Comedy;4315;n/a;4315
371;2018;December 7th;Love Live! Sunshine!! Aqours 4th Lovelive! Sailing To The Sunshine;Comedy;13640;n/a;13640
372;2018;December 7th;Mary Queen of Scots;Drama;30371647;16648499;47020146
