sales_id;year;release_date;title;genre;international_box_office;domestic_box_office;worldwide_box_office
7423;2018;May 11th;Luz Obscura;Documentary;5041;n/a;5041
7424;2018;May 11th;Murtaza;Drama;532;n/a;532
7425;2018;May 11th;Kral Ã…Å¾akir Oyun ZamanÃ„Â±;Adventure;813496;n/a;813496
7426;2018;May 11th;KorÃƒÂ´ no chi;Drama;5908700;n/a;5908700
7427;2017;May 26th;Fascinated Love;;219012;n/a;219012
7428;2018;May 11th;Looking for Goddess Jiao Ai;Drama;23688;n/a;23688
7429;2017;May 26th;Chotto Imakara Shigoto Yametekuru;Comedy;7012018;n/a;7012018
7430;2017;May 26th;Buena Vista Social ClubÃ¢â‚¬â€Adios;Documentary;220038;123445;343483
7431;2017;May 26th;Drone;Thriller/Suspense;;n/a;
7432;2017;May 26th;Bob the Builder: Mega Machines;Adventure;437635;n/a;437635
7433;2017;May 26th;Cruel and Unusual;Documentary;;n/a;
7434;2017;May 26th;Black Butterfly;Thriller/Suspense;359182;n/a;359182
7435;2017;February 2nd;Bilal: A New Breed of Hero;Adventure;157626;490973;648599
7436;2017;May 26th;Dust;Drama;3288150;n/a;3288150
7437;2017;May 26th;96 Souls;Drama;;n/a;
7438;2017;May 26th;Black and White Photo Studio;;5062;n/a;5062
7439;2017;June 16th;47 Meters Down;Horror;18326512;44307193;62633705
7440;2017;May 25th;Ulideului Ilgi;Action;2613;n/a;2613
7441;2017;May 25th;Soepari;Drama;32573;n/a;32573
7442;2017;May 25th;Paran Nabi Hyokwa;Documentary;31293;n/a;31293
7443;2017;May 25th;Pawobaeteul wachika: wachigamyeoneui yeokseub;Action;142728;n/a;142728
7444;2017;May 25th;Kkumui Jein;Drama;192176;n/a;192176
7445;2017;May 25th;neoegeman deullyeojugo sipeo;Drama;1823;n/a;1823
7446;2017;May 25th;Hanni & Nanni: Mehr als beste Freunde;Drama;3415880;n/a;3415880
7447;2017;February 14th;L'amant double;Thriller/Suspense;4723961;167093;4891054
7448;2017;May 25th;Cuori Puri;Drama;156233;n/a;156233
7449;2015;July 24th;Big Significant Things;Comedy;;n/a;
